date,CPI_Energy,CPI_Food,CPI_Shelter,CPI_Total,CPI_Energy_YoY,CPI_Food_YoY,CPI_Shelter_YoY,CPI_Total_YoY
2016-01-01,180.171,248.631,283.498,236.916,,,,
2016-02-01,172.061,248.8,284.435,237.111,,,,
2016-03-01,179.017,247.978,285.196,238.132,,,,
2016-04-01,185.652,248.413,285.836,239.261,,,,
2016-05-01,192.673,247.86,286.924,240.229,,,,
2016-06-01,200.035,247.482,288.069,241.018,,,,
2016-07-01,195.94,247.554,288.78,240.628,,,,
2016-08-01,193.524,247.719,289.605,240.849,,,,
2016-09-01,195.852,247.917,290.445,241.428,,,,
2016-10-01,194.786,248.073,291.407,241.729,,,,
2016-11-01,191.402,247.435,291.953,241.353,,,,
2016-12-01,193.306,247.313,292.612,241.432,,,,
2017-01-01,199.608,248.242,293.56,242.839,10.788084652913078,-0.15645675720245,3.549231387875751,2.5000422090529995
2017-02-01,198.195,248.791,294.444,243.603,15.188799321170965,-0.0036173633440550468,3.5189059011724977,2.7379581714893186
2017-03-01,198.597,249.165,295.044,243.801,10.937508728221346,0.47867149505196327,3.453063857838101,2.3806124334402767
2017-04-01,202.869,249.739,295.706,244.524,9.27380259840993,0.5337884893302558,3.4530290096418836,2.199689878417299
2017-05-01,203.132,250.016,296.503,244.733,5.428368271631201,0.8698458807391285,3.3385147286389527,1.8748777208413614
2017-06-01,204.646,249.653,297.446,244.955,2.305096608093571,0.8772355161183354,3.2551229045818975,1.633487955256463
2017-07-01,202.554,250.214,297.919,244.786,3.3755231193222546,1.0745130355397148,3.1646928457649492,1.727978456372492
2017-08-01,205.894,250.493,299.157,245.519,6.391972055145612,1.1198172122445227,3.298285595897843,1.9389742120581754
2017-09-01,215.711,250.993,299.844,246.819,10.139799440393782,1.2407378275793857,3.2360687909931407,2.2329638650032235
2017-10-01,207.29,251.364,300.846,246.663,6.419352520201649,1.326625630358813,3.239112306842329,2.0411287019761692
2017-11-01,209.383,250.871,301.185,246.669,9.394363695259212,1.3886475235920681,3.1621528122677267,2.202582938683184
2017-12-01,206.598,251.238,301.985,246.524,6.876144558368602,1.5870576961178884,3.2032179131409544,2.1090824745684245
2018-01-01,210.663,252.361,302.928,247.867,5.538355176145249,1.6592679723817838,3.1911704591906176,2.0705076202751638
2018-02-01,213.519,252.266,303.653,248.991,7.731779308257036,1.3967547057570417,3.1275896265503755,2.2117954212386604
2018-03-01,212.554,252.37,304.847,249.554,7.027800017120089,1.2862962294062141,3.322555279890449,2.3597114039729084
2018-04-01,218.83,253.209,305.716,250.546,7.867638722525383,1.389450586412222,3.3851190033343803,2.462743943334811
2018-05-01,226.81,253.098,306.913,251.588,11.656459838922473,1.2327211058492438,3.5109256904652053,2.8010117148075553
2018-06-01,229.137,253.231,307.521,251.989,11.96749508908066,1.4331892667021728,3.3871694357967552,2.87154783531669
2018-07-01,227.107,253.746,308.393,252.006,12.121705816720475,1.411591677524049,3.5157207160335435,2.9495150866471143
2018-08-01,226.939,254.077,309.296,252.146,10.221278910507348,1.4307785047885657,3.389190291385469,2.6991801041874375
2018-09-01,226.165,254.393,309.702,252.439,4.846298983361996,1.3546194515384968,3.2877096089966695,2.2769721941990007
2018-10-01,225.757,254.358,310.382,252.885,8.908775145930825,1.1911013510287782,3.169728033611885,2.5224699286070296
2018-11-01,215.91,254.379,310.95,252.038,3.1172540273088023,1.39832822446595,3.2421933363215194,2.176601032152403
2018-12-01,205.905,255.21,311.652,251.233,-0.3354340313071802,1.5809710314522496,3.201152375117955,1.9101588486313714
2019-01-01,200.563,256.417,312.696,251.712,-4.794387244081788,1.6072214010881103,3.2245286008556695,1.5512351381991252
2019-02-01,202.74,257.222,313.88,252.776,-5.048262683882932,1.9645929296853382,3.3679891191590317,1.520135265933309
2019-03-01,211.724,257.724,315.135,254.202,-0.3904890051469323,2.1214882910012944,3.3748076904152047,1.8625227405691724
2019-04-01,222.499,257.708,316.263,255.548,1.6766439702051716,1.7767930839741153,3.449933925604154,1.9964397755302565
2019-05-01,225.773,258.11,317.188,256.092,-0.45721088135444177,1.980260610514506,3.3478542779223908,1.7902284687663972
2019-06-01,221.373,258.064,318.3,256.143,-3.3883659120962584,1.9085341052240912,3.5051264791672754,1.6484846560762545
2019-07-01,222.492,258.274,319.136,256.571,-2.032081794044216,1.7844616269813152,3.4835421037442638,1.8114648063935146
2019-08-01,216.978,258.41,319.679,256.558,-4.389285226426476,1.7053885239514122,3.3569784284310122,1.7497798894291483
2019-09-01,215.418,258.943,320.569,256.759,-4.751840470452984,1.7885712264095188,3.508856901150148,1.7113045131695204
2019-10-01,216.351,259.632,320.762,257.346,-4.166426733168849,2.0734555233175245,3.3442660979051686,1.7640429444213845
2019-11-01,214.636,259.467,321.267,257.208,-0.5900606734287384,2.00016510796881,3.3178967679691196,2.0512779818916194
2019-12-01,212.982,259.823,321.766,256.974,3.4370219275879688,1.8075310528584243,3.24528640920001,2.2851297401217163
2020-01-01,213.043,261.057,323.053,257.971,6.222483708360982,1.8095524087716752,3.312162611609981,2.4865719552504606
2020-02-01,208.354,261.876,324.254,258.678,2.769063825589435,1.8093320167015259,3.305084745762721,2.3348735639459495
2020-03-01,199.573,262.708,324.615,258.115,-5.73907540004911,1.9338517173410397,3.0082345661383236,1.5393269919198094
2020-04-01,183.081,266.757,324.522,256.389,-17.716034678807546,3.5113384140189607,2.611434154485348,0.3290966863368272
2020-05-01,183.076,268.439,325.265,256.394,-18.911473028218605,4.001782185889735,2.5464393356621207,0.11792637021070806
2020-06-01,193.379,269.77,325.814,257.797,-12.645625256919313,4.536084072168123,2.3606660383286293,0.6457330475554857
2020-07-01,197.665,268.863,326.58,259.101,-11.158603455405135,4.09990939854572,2.332547879274016,0.9860818253037085
2020-08-01,197.362,269.079,326.997,259.918,-9.04054788964781,4.128710189234153,2.289171324985384,1.3096453823307153
2020-09-01,198.858,269.163,327.116,260.28,-7.687379884689305,3.9468145499202745,2.0423060246000047,1.3713248610564666
2020-10-01,196.458,269.828,327.273,260.388,-9.194780703578909,3.927096813952047,2.029853910375934,1.1820661677274913
2020-11-01,194.388,269.069,327.435,260.229,-9.433645800331725,3.700663282806693,1.9198984022635424,1.1745357842679605
2020-12-01,198.155,270.023,327.702,260.474,-6.961621169864118,3.9257494525119174,1.8448189056643471,1.3620054947193205
2021-01-01,205.273,270.938,328.282,261.582,-3.647151044624797,3.784997146217095,1.6186198549464015,1.3997697415600863
2021-02-01,213.277,271.363,329.005,263.014,2.362805609683516,3.6227069299974213,1.4652093728990234,1.6762152173745104
2021-03-01,225.861,271.812,330.122,264.877,13.172122481497993,3.465444523958161,1.6964712043497698,2.619762508959189
2021-04-01,229.116,273.09,331.354,267.054,25.14460812427288,2.3740707835220753,2.105250183346574,4.15969483870211
2021-05-01,235.339,274.212,332.454,269.195,28.547160741986932,2.1505816964002777,2.2101978386853904,4.992706537594471
2021-06-01,240.72,276.206,334.222,271.696,24.480941570697958,2.385735997331073,2.580613478856031,5.391451413321335
2021-07-01,244.8,278.127,335.812,273.003,23.84590089292491,3.445621004005761,2.8268724355441366,5.365475239385398
2021-08-01,246.639,279.135,336.284,273.567,24.967825619926852,3.7371924230430453,2.8400872179255465,5.251271554874992
2021-09-01,248.228,281.506,337.451,274.31,24.826760804191927,4.5856971426236015,3.1594296824368318,5.390348855079163
2021-10-01,255.338,284.205,338.671,276.589,29.970782559122043,5.328209081340707,3.482719319956118,6.221868903328898
2021-11-01,259.1,285.507,339.997,277.948,33.290120789349146,6.109213621784737,3.836486630934388,6.809002839806477
2021-12-01,256.207,286.966,341.241,278.802,29.296257979864237,6.2746506779052025,4.131497519087457,7.036402865545144
2022-01-01,260.653,289.772,342.604,281.148,26.97870640561595,6.951405856690451,4.362712545920888,7.479872468289117
2022-02-01,267.771,292.794,344.607,283.716,25.55080951063642,7.897539458216474,4.742177170559736,7.871063897739283
2022-03-01,298.246,295.728,346.618,287.504,32.04847229047954,8.798728532956602,4.996940525018023,8.542455554842432
2022-04-01,298.469,298.711,348.389,289.109,30.269819654672723,9.381888754623024,5.141027420824873,8.258629340882372
2022-05-01,316.761,302.038,350.58,292.296,34.59775047909612,10.147623007016481,5.4521828583804055,8.581511543676523
2022-06-01,340.917,305.041,352.967,296.311,41.623878364905266,10.439671839134546,5.608547612066239,9.059757964784154
2022-07-01,325.407,308.532,354.935,296.276,32.92769607843135,10.93205621892157,5.6945552868867155,8.52481474562552
2022-08-01,305.372,310.875,357.264,296.171,23.813346632122247,11.370842065667164,6.238774369283107,8.262692503116241
2022-09-01,297.343,313.142,359.704,296.808,19.786244903878703,11.238126363203627,6.594438896313837,8.20166964383362
2022-10-01,300.359,315.323,362.093,298.012,17.631923176338816,10.949138825847538,6.915856391601305,7.7454273308049215
2022-11-01,292.953,315.857,364.195,297.711,13.065611732921623,10.630212218964875,7.11712162166136,7.110322794191726
2022-12-01,274.937,316.839,366.868,296.797,7.310495029409814,10.409944035181873,7.509941654138874,6.4544013314108195
2023-01-01,283.33,319.136,369.585,299.17,8.700072510195533,10.133484256587955,7.875272909831765,6.410146968856267
2023-02-01,281.673,320.569,372.51,300.84,5.191749666692802,9.486191656932874,8.09704968268199,6.035613077866597
2023-03-01,279.084,320.863,374.971,301.836,-6.424897567779608,8.499364280690358,8.179898331881219,4.984974122099173
2023-04-01,283.352,321.566,376.636,303.363,-5.064847605613987,7.651208023808942,8.10789089207753,4.930320398188925
2023-05-01,279.816,322.249,378.776,304.127,-11.66336764942656,6.691542123838734,8.042672143305385,4.047609272791974
2023-06-01,283.854,322.556,380.594,305.109,-16.738091676273104,5.741851095426509,7.8270773188428455,2.9691776545588855
2023-07-01,284.828,323.523,382.226,305.691,-12.4702295894065,4.858815293065244,7.6890134813416555,3.177780177942169
2023-08-01,294.328,324.1,383.221,307.026,-3.6165725737788756,4.254121431443503,7.265495543911493,3.6651123843995492
2023-09-01,296.004,324.704,385.433,307.789,-0.4503216823668277,3.6922546320838467,7.1528256566510295,3.69969812134443
2023-10-01,286.754,325.731,386.435,307.671,-4.529579603074973,3.3007424133349117,6.722582320011705,3.241144651893202
2023-11-01,277.029,325.172,387.892,307.051,-5.435684222383785,2.9491193799725757,6.506679114210789,3.1372707088417773
2023-12-01,269.375,325.409,389.433,306.746,-2.023008907495172,2.704843785013833,6.150713608164238,3.3521228314302265
2024-01-01,270.42,327.327,391.896,308.417,-4.556524194402279,2.566617366890589,6.036770972847938,3.0908847812280538
2024-02-01,276.331,327.731,393.906,310.326,-1.8965254035708035,2.234152397767719,5.743738423129585,3.1531711208615976
2024-03-01,285.002,328.043,396.174,312.332,2.1205085207321117,2.237715161922682,5.654570620127952,3.4773850700380304
2024-04-01,290.76,328.678,397.539,313.548,2.6144159914170517,2.2116766076015537,5.549920878514003,3.357363950119163
2024-05-01,290.139,329.12,399.274,314.069,3.689210052320102,2.1322021169964733,5.411641709083992,3.2690290569400204
2024-06-01,286.675,329.71,400.234,314.175,0.993820767014042,2.2179094482818407,5.16035460359332,2.971397107263307
2024-07-01,287.868,330.561,401.545,314.54,1.0673107980956997,2.1754249311486173,5.0543395792018275,2.8947531984913066
2024-08-01,282.614,330.75,403.257,314.796,-3.9799135658177276,2.0518358531317338,5.2283147322302215,2.5307302964569622
2024-09-01,275.74,332.083,404.133,315.301,-6.845853434413051,2.2725312900364614,4.85168628529471,2.440633031069983
2024-10-01,272.807,332.678,405.287,315.664,-4.863750810799505,2.1327414338825568,4.878440099887427,2.597904904914672
2024-11-01,268.213,332.904,406.25,315.493,-3.1823383111515335,2.3778185083586534,4.73276066533983,2.7493803960905616
2024-12-01,267.963,333.566,407.242,315.605,-0.5241763341067185,2.506691578905307,4.573058780329364,2.888057219980067
2025-01-01,273.045,335.517,409.153,317.671,0.9707122254271061,2.5020850708924014,4.40346418437545,3.0004831121501097
2025-02-01,275.867,336.274,410.635,319.082,-0.1679145662267345,2.6067109916364295,4.24695231857346,2.82154895174751
2025-03-01,275.734,337.751,411.99,319.799,-3.2519070041613807,2.9593681316168796,3.9921852519347656,2.3907252538964974
2025-04-01,279.888,337.747,413.389,320.795,-3.739166322740406,2.7592354827521204,3.9870302033259586,2.3112888616734883
2025-05-01,280.097,338.598,414.689,321.465,-3.4610996798086546,2.8798006806028287,3.8607572744531415,2.354896535474671
2025-06-01,284.307,339.498,415.455,322.561,-0.8260224993459464,2.968669436777782,3.80302523024032,2.669213018222316
2025-07-01,283.395,340.036,416.271,323.048,-1.5538371753720526,2.8663393443267626,3.667334918875831,2.7049023971513986
2025-08-01,283.247,341.295,417.902,323.976,0.223980411444602,3.1882086167800416,3.631679053308434,2.9161742842984006
2025-09-01,283.589,342.405,418.598,324.8,2.846522086023051,3.10825907980834,3.5792672214345345,3.0126767755256134
